NCBI_Refseq	GTDB_Phylum	GTDB_Class	GTDB_Order	GTDB_Family	GTDB_Genus	GTDB_Species	Isolation Source
GCA_902784545	Firmicutes_A	Clostridia	Oscillospirales	CAG-272	UBA1248	UBA1248 sp902784545	host
GCA_902784855	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Ruminococcus_E	RuminococcuE sp902784855	host
GCA_902785065	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9	RC9 sp902785065	host
GCA_902785135	Firmicutes	Bacilli	RF39	UBA660	RUG13038	RUG13038 sp902785135	host
GCA_902785275	Proteobacteria	Alphaproteobacteria	Rs-D84	CACZYB01	CACZYB01	CACZYB01 sp902785275	host
GCA_902785485	Firmicutes_A	Clostridia	Oscillospirales	CAG-272	RUG13077	RUG13077 sp902785485	host
GCA_902785575	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9	RC9 sp902785575	host
GCA_902785645	Firmicutes	Bacilli	RFN20	CAG-826	RUG13091	RUG13091 sp902785645	host
GCA_902785765	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	UBA1213	UBA1213 sp902785765	host
GCA_902785825	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9	RC9 sp902785825	host
GCA_902786565	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp902786565	host
GCA_902787375	Firmicutes_A	Clostridia_A	Christensenellales	CAG-138	UBA3857	UBA3857 sp900313585	host
GCA_902787575	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	UBA4372	UBA4372 sp900320715	host
GCA_902787955	Firmicutes	Bacilli	RFN20	CAG-826	UBA3207	UBA3207 sp902787955	host
GCA_902788705	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	UBA1367	UBA1367 sp902788705	host
GCA_902789325	Spirochaetota	Spirochaetia	Treponematales	Treponemataceae	Treponema_D	Treponema_D sp902789325	host
GCA_902789425	Firmicutes	Bacilli	RF39	UBA660	RUG13038	RUG13038 sp902789425	host
GCA_902790595	Bacteroidota	Bacteroidia	Bacteroidales	SZUA-534	RUG13583	RUG13583 sp902790595	host
GCA_902790985	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Ruminococcus_E	RuminococcuE sp902790985	host
GCA_902791425	Firmicutes_A	Clostridia	Monoglobales	Monoglobaceae	UMGS1820	UMGS1820 sp902791425	host
GCA_902791965	Elusimicrobiota	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	UBA1174	UBA1174 sp902791965	host
GCA_902792635	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp902792635	host
GCA_902792815	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9	RC9 sp902792815	host
GCA_902792855	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp902792855	host
GCA_902793375	Firmicutes	Bacilli	RF39	UBA660	RUG13868	RUG13868 sp902793375	host
GCA_902793605	Firmicutes_A	Clostridia_A	Christensenellales	CAG-74	GCA-900199385	GCA-900199385 sp900320755	host
GCA_902793635	Firmicutes	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Bulleidia	Bulleidia sp902793635	host
GCA_902793685	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Stomatobaculum	Stomatobaculum sp902793685	host
GCA_902793695	Proteobacteria	Alphaproteobacteria	RF32	CAG-239	RUG410	RUG410 sp902793695	host
GCA_902794005	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	RC9	RC9 sp902794005	host
GCA_902794895	Elusimicrobiota	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	UBA1436	UBA1436 sp902794895	host
GCA_902795275	Firmicutes_A	Clostridia_A	Christensenellales	CAG-74	RUG563	RUG563 sp902795275	host
GCA_902795745	Proteobacteria	Alphaproteobacteria	RF32	CAG-239	RUG410	RUG410 sp902795745	host
GCA_902796285	Firmicutes_A	Clostridia_A	Christensenellales	UBA1242	UBA11517	UBA11517 sp902796285	host
GCA_902797855	Firmicutes	Bacilli	RFN20	CAG-826	UBA3207	UBA3207 sp902797855	host
GCA_902798815	Firmicutes	Bacilli	RF39	UBA660	UBA3789	UBA3789 sp902798815	host
GCA_902798835	Elusimicrobiota	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	UBA1436	UBA1436 sp902798835	host
GCA_902798915	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	RUG440	RUG440 sp902798915	host
GCA_902799465	Firmicutes_A	Clostridia_A	Christensenellales	CAG-74	UBA2862	UBA2862 sp902799465	host
GCA_902800015	Firmicutes	Bacilli	Mycoplasmatales	Mycoplasmoidaceae	Malacoplasma_A	Malacoplasma_A sp902800015	host
GCA_902800325	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-127	CAG-127 sp902800325	host
GCA_902800355	Firmicutes	Bacilli	RFN20	CAG-826	UBA2450	UBA2450 sp902800355	host
GCA_902800645	Firmicutes	Bacilli	RFN20	CAG-826	UBA2450	UBA2450 sp902800645	host
GCA_902800925	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp902800925	host
GCF_000311745	Firmicutes_A	Clostridia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus obesiensis	host
GCF_000513555	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Oribacterium	Oribacterium sp000513555	host
GCF_001404875	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea_A	Dorea_A longicatena_B	host
GCF_001405375	Actinobacteriota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofacienF	host
GCF_002007235	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Oribacterium	Oribacterium sp002007235	host
GCF_002251245	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp002251245	host
GCF_002251365	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp002251365	host
GCF_002251435	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella sp002251435	host
GCF_003268275	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Hydrogeniiclostridium	Hydrogeniiclostridium mannosilyticum	host
GCF_003434055	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster aldenensis	host
GCF_003435815	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-317	CAG-317 sp000433215	host
GCF_003437535	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola plebeiuA	host
GCF_003458885	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA9414	UBA9414 sp003458885	host
GCF_003464595	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides intestinaliA	host
GCF_003470905	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia sp003470905	host
GCF_003473295	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides sp003473295	host
GCF_003473545	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster sp000431375	host
GCF_003477705	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium_B	Lachnoclostridium_B sp900066555	host
GCF_003478035	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-81	CAG-81 sp900066785	host
