Hepler	sameSp	Type
S47	S473	NS
S47	S474	KS
S20	S474	KS
S08	S475	KS
S60	S476	KS
S60	S476	KS
S63	S477	NG
S47	S478	KS
S11	S479	NS
S64	S481	NS
S08	S482	KS
S08	S484	KS
S63	S485	KS
S60	S486	NS
S60	S486	NS
S60	S487	KS
S26	S488	KS
S64	S489	NS
S60	S490	KS
S11	S491	NS
S11	S492	KS
S20	S493	KS
S60	S494	KS
S47	S495	NS
S63	S495	NS
S64	S495	NS
S63	S495	NS
S26	S495	NS
S47	S495	NS
S47	S495	NS
S47	S495	NS
S47	S495	NS
S11	S495	NS
S11	S496	NS
S63	S496	NS
S11	S497	KS
S11	S497	KS
S26	S497	KS
S11	S498	KS
S26	S498	KS
S47	S498	KS
S11	S498	KS
S11	S499	NS
S60	S500	NS
S60	S501	NS
S64	S502	KS
S11	S503	KS
S20	S503	KS
S26	S503	KS
S47	S503	KS
S60	S503	KS
S63	S503	KS
S64	S503	KS
S20	S504	KS
S26	S504	KS
S47	S504	KS
S64	S504	KS
S64	S504	KS
S08	S505	NS
S26	S507	NS
S64	S507	NS
S20	S507	NS
S20	S507	NS
S64	S507	NS
S08	S507	NS
S60	S507	NS
S26	S507	NS
S11	S507	NS
S08	S508	KS
S08	S509	NS
S60	S510	NS
S63	S511	NS
S08	S512	NS
S60	S513	KS
S64	S514	NS
S64	S514	NS
S20	S515	KS
S26	S516	NS
S63	S517	KS
S26	S518	NS
S08	S518	NS
S64	S518	NS
S26	S519	NS
S63	S520	NS
S20	S521	NS
S08	S523	KS
S20	S523	KS
S20	S524	KS
S60	S524	KS
S26	S525	KS
S11	S526	KS
S11	S527	KS
S11	S527	KS
S47	S527	KS
S64	S527	KS
S20	S528	NS
S11	S528	NS
S08	S529	NS
S08	S529	NS
S20	S530	NS
S60	S531	KS
S60	S531	KS
S63	S531	KS
S60	S532	KS
S26	S533	NS
S60	S535	NS
S60	S536	NG
S08	S537	NS
S20	S537	NS
S11	S537	NS
S26	S538	KS
S08	S539	NS
S08	S539	NS
S11	S540	NS
S08	S541	NS
S11	S542	NG
S11	S543	NS
S63	S544	NG
S60	S545	NG
S20	S546	NS
S11	S547	NS
S64	S548	KS
S11	S548	KS
S11	S549	NS
S11	S550	NS
S11	S550	NS
S47	S550	NS
S11	S551	NS
S11	S552	NS
S08	S553	NS
S63	S555	NS
S60	S556	KS
S63	S556	KS
S08	S557	NG
S20	S558	NS
S63	S559	KS
S63	S559	KS
S11	S560	KS
S63	S561	NS
S63	S562	NS
S64	S562	NS
S47	S563	NG
S08	S564	KS
S20	S564	KS
S20	S564	KS
S20	S564	KS
S20	S564	KS
S20	S564	KS
S20	S564	KS
S26	S564	KS
S26	S564	KS
S47	S564	KS
S60	S564	KS
S64	S564	KS
S60	S565	NS
S08	S566	KS
S26	S566	KS
S47	S566	KS
S47	S566	KS
S20	S567	KS
S20	S568	NS
S26	S569	KS
S63	S569	KS
S60	S570	NS
S63	S571	NS
S26	S572	KS
S26	S573	KS
S11	S574	NS
S20	S575	NS
S08	S577	KS
S20	S577	KS
S26	S577	KS
S47	S577	KS
S64	S577	KS
S47	S578	KS
S20	S579	NS
S08	S580	KS
S47	S580	KS
S11	S581	KS
S63	S581	KS
S63	S581	KS
S60	S583	NG
S60	S584	KS
S11	S585	NS
S08	S585	NS
S64	S585	NS
S26	S586	NS
S26	S586	NS
S64	S587	NS
S63	S588	KS
S63	S588	KS
S11	S588	KS
S60	S588	KS
S64	S589	NS
S47	S590	KS
S63	S590	KS
S11	S591	KS
S63	S591	KS
S64	S591	KS
S26	S592	KS
S47	S592	KS
S64	S593	NS
S26	S594	NS
S20	S595	KS
S26	S595	KS
S63	S595	KS
S64	S595	KS
S64	S595	KS
S64	S595	KS
S20	S596	KS
S11	S597	KS
S11	S597	KS
S47	S597	KS
S47	S597	KS
S64	S597	KS
S20	S598	KS
S60	S600	KS
S60	S600	KS
S63	S601	NS
S47	S602	NS
S20	S603	NS
S08	S604	KS
S47	S605	KS
S08	S606	NS
S20	S607	NS
S11	S608	NS
S60	S609	KS
S63	S609	KS
S63	S610	KS
S20	S611	KS
S60	S612	NS
S11	S614	NS
S08	S616	KS
S11	S616	KS
S11	S617	KS
S60	S618	KS
S08	S619	NS
S26	S621	NS
S08	S622	NS
S08	S623	KS
S08	S623	KS
S63	S623	KS
S11	S624	KS
S08	S624	KS
S08	S624	KS
S63	S625	KS
S60	S626	NS
S64	S627	KS
S20	S628	KS
S08	S629	KS
S47	S629	KS
S64	S630	KS
S64	S630	KS
S63	S631	KS
S11	S633	NS
S11	S634	KS
S47	S635	NS
S64	S636	NS
S64	S639	NS
S26	S640	NS
S26	S640	NS
S20	S642	NS
S20	S643	NS
S08	S644	KS
S11	S644	KS
S26	S644	KS
S47	S644	KS
S60	S644	KS
S64	S644	KS
S64	S644	KS
S11	S644	KS
S63	S644	KS
S08	S645	NS
S26	S645	NS
S26	S645	NS
S47	S646	NS
S20	S647	NS
S60	S648	NS
S11	S649	NS
S60	S650	NS
S26	S650	NS
S26	S651	NS
S20	S653	KS
S26	S653	KS
S26	S654	NS
S08	S655	KS
S08	S657	NS
S20	S658	KS
S26	S658	KS
S26	S658	KS
S47	S658	KS
S47	S658	KS
S60	S658	KS
S63	S658	KS
S64	S658	KS
S11	S658	KS
S63	S658	KS
S11	S659	KS
S20	S659	KS
S26	S659	KS
S47	S659	KS
S47	S659	KS
S60	S659	KS
S60	S659	KS
S63	S659	KS
S08	S659	KS
S20	S660	KS
S47	S660	KS
S63	S660	KS
S64	S660	KS
S11	S661	KS
S20	S661	KS
S08	S663	KS
S11	S663	KS
S20	S663	KS
S26	S663	KS
S47	S663	KS
S60	S663	KS
S63	S663	KS
S64	S663	KS
S64	S663	KS
S64	S663	KS
S47	S663	KS
S20	S664	NS
S08	S665	KS
S11	S665	KS
S08	S666	KS
S11	S666	KS
S20	S666	KS
S26	S666	KS
S47	S666	KS
S60	S666	KS
S63	S666	KS
S64	S666	KS
S08	S666	KS
S63	S666	KS
S26	S667	KS
S47	S667	KS
S47	S667	KS
S11	S667	KS
S26	S668	KS
S60	S669	KS
S08	S670	NG
S20	S671	KS
S08	S672	NS
S60	S672	NS
S08	S672	NS
S47	S672	NS
S64	S672	NS
S26	S672	NS
S60	S672	NS
S63	S672	NS
S63	S673	NS
S64	S673	NS
S08	S674	KS
S20	S674	KS
S63	S674	KS
S11	S675	NS
S11	S676	KS
S63	S676	KS
S08	S676	KS
S64	S677	NS
S63	S677	NS
S64	S679	KS
S20	S680	KS
S26	S680	KS
S64	S681	KS
S47	S682	KS
S47	S682	KS
S20	S683	NS
S08	S684	KS
S20	S684	KS
S63	S684	KS
S08	S685	KS
S20	S685	KS
S60	S685	KS
S64	S685	KS
S11	S686	KS
S60	S686	KS
S47	S687	NS
S08	S687	NS
S63	S687	NS
S47	S687	NS
S64	S689	KS
S47	S689	KS
